variant_name,mask_name,width_core,halo_width,keep_core,keep_halo,side_sigma,feather_radius,core_coverage_percent,halo_coverage_percent,edit_coverage_percent,mean_abs_removed_core,mean_abs_removed_halo,mean_abs_removed_outside,core_outside_ratio
D85b_wc3_h4_kc0.00_kh0.2_s15,D85b,3,4,0.0,0.2,15.0,2.0,4.561451247165533,9.587214372928658,14.148665620094192,208.60328674316406,163.2942352294922,0.0,208603286.74316406
D85b_wc3_h4_kc0.00_kh0.3_s15,D85b,3,4,0.0,0.3,15.0,2.0,4.561451247165533,9.587214372928658,14.148665620094192,208.60328674316406,142.88233947753906,0.0,208603286.74316406
D85b_wc3_h4_kc0.05_kh0.2_s15,D85b,3,4,0.05,0.2,15.0,2.0,4.561451247165533,9.587214372928658,14.148665620094192,198.1731414794922,163.2942352294922,0.0,198173141.4794922
D85b_wc3_h4_kc0.05_kh0.3_s15,D85b,3,4,0.05,0.3,15.0,2.0,4.561451247165533,9.587214372928658,14.148665620094192,198.1731414794922,142.88233947753906,0.0,198173141.4794922
D85b_wc3_h4_kc0.10_kh0.2_s15,D85b,3,4,0.1,0.2,15.0,2.0,4.561451247165533,9.587214372928658,14.148665620094192,187.74295043945312,163.2942352294922,0.0,187742950.43945312
D85b_wc3_h4_kc0.10_kh0.3_s15,D85b,3,4,0.1,0.3,15.0,2.0,4.561451247165533,9.587214372928658,14.148665620094192,187.74295043945312,142.88233947753906,0.0,187742950.43945312
D85b_wc3_h8_kc0.00_kh0.2_s10,D85b,3,8,0.0,0.2,10.0,2.0,4.561451247165533,21.418873190301763,25.980324437467296,221.3177490234375,156.06204223632812,0.0,221317749.0234375
D85b_wc3_h8_kc0.00_kh0.3_s10,D85b,3,8,0.0,0.3,10.0,2.0,4.561451247165533,21.418873190301763,25.980324437467296,221.3177490234375,136.5542449951172,0.0,221317749.0234375
D85b_wc3_h8_kc0.05_kh0.2_s10,D85b,3,8,0.05,0.2,10.0,2.0,4.561451247165533,21.418873190301763,25.980324437467296,210.25184631347656,156.06204223632812,0.0,210251846.31347656
D85b_wc3_h8_kc0.05_kh0.3_s10,D85b,3,8,0.05,0.3,10.0,2.0,4.561451247165533,21.418873190301763,25.980324437467296,210.25184631347656,136.5542449951172,0.0,210251846.31347656
D85b_wc3_h8_kc0.10_kh0.2_s10,D85b,3,8,0.1,0.2,10.0,2.0,4.561451247165533,21.418873190301763,25.980324437467296,199.18600463867188,156.06204223632812,0.0,199186004.63867188
D85b_wc3_h8_kc0.10_kh0.3_s10,D85b,3,8,0.1,0.3,10.0,2.0,4.561451247165533,21.418873190301763,25.980324437467296,199.18600463867188,136.5542449951172,0.0,199186004.63867188
D85b_wc3_h8_kc0.00_kh0.2_s15,D85b,3,8,0.0,0.2,15.0,2.0,4.561451247165533,21.418873190301763,25.980324437467296,222.77145385742188,159.1854705810547,0.0,222771453.85742188
D85b_wc3_h8_kc0.00_kh0.3_s15,D85b,3,8,0.0,0.3,15.0,2.0,4.561451247165533,21.418873190301763,25.980324437467296,222.77145385742188,139.2872314453125,0.0,222771453.85742188
D85b_wc3_h8_kc0.05_kh0.2_s15,D85b,3,8,0.05,0.2,15.0,2.0,4.561451247165533,21.418873190301763,25.980324437467296,211.63287353515625,159.1854705810547,0.0,211632873.53515625
D85b_wc3_h8_kc0.05_kh0.3_s15,D85b,3,8,0.05,0.3,15.0,2.0,4.561451247165533,21.418873190301763,25.980324437467296,211.63287353515625,139.2872314453125,0.0,211632873.53515625
D85b_wc3_h8_kc0.10_kh0.2_s15,D85b,3,8,0.1,0.2,15.0,2.0,4.561451247165533,21.418873190301763,25.980324437467296,200.49427795410156,159.1854705810547,0.0,200494277.95410156
